DOI,Aesthetic Metrics,Aesthetic Resolution,Aesthetic Tag,Aesthetic cleanup,Application Domain,Authors,Bibtex Key,Checked By,Cleaned-Up Venue,Collect,Constraints,Doubt,Drawing Dimensionality,Duplicate,Evaluation Methodology,Filled in by,Graph Feature Clean-up,Graph Features,Highlight,How Was the Optimization Achieved?,Keep,Last edited by,Last edited time,Number of Graphs,Optimization Approach,Optimization Approach cleaned,Optimization Level,Paper Type,Place,Place 1,Read By,Source,Title,Type Tag,URL,Venue,Visualization Type,Visualization Type cleanup,Year,|E| Range,|V| Range
10.1145/1556262.1556288,"Edgs Cannot Cross Vertices, Vertex Overlap",Drawing,Overlap,,Agnostic,"Harel, David, Koren, Yehuda",harel_drawing_2002,Henry,Proceedings of the Working Conference on Advanced Visual Interfaces,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),Non-Uniform Nodes,No,2D,No,"Computational (Aesthetic), Computational (Run Time)",Diana,Simple,Simple Graph,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:51 PM",,Heuristic (force-directed),Heuristic,Drawing,"Algorithm, Comparison, Evaluation",,,Natkamon,ACM,Drawing graphs with non-uniform vertices,,https://doi.org/10.1145/1556262.1556288,Proceedings of the Working Conference on Advanced Visual Interfaces,Node-Link Diagram,Node-Link,2002,,
10.1145/1722024.1722052,,,,,,"Alada\u{g}, Ahmet Emre, Erten, Cesim, S\{o}zdinler, Melih",,Henry,Proceedings of the International Symposium on Biocomputing,,,Yes,,No,,,,,No,,No,Natkamon Tovanich,"September 19, 2025 1:03 PM",,,,,,,,Natkamon,ACM,An integrated model for visualizing biclusters from gene expression data and PPI networks,,https://doi.org/10.1145/1722024.1722052,Proceedings of the International Symposium on Biocomputing,,,2010,,
10.1145/1671970.1671975,Crossing Number,Drawing,Edge Crossings,Crossings,None,"Chimani, Markus, Gutwenger, Carsten, Mutzel, Petra, Wong, Hoi-Ming",chimani_layer-free_2010,Henry,ACM J Exp Algorithmics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,Computational (Aesthetic),Natkamon,"Acyclic, Directed",Directed Acyclic Graphs,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:45 PM",,Heuristic (other),,Drawing,Algorithm,,,Natkamon,ACM,Layer-free upward crossing minimization,,https://doi.org/10.1145/1671970.1671975,ACM J. Exp. Algorithmics,Node-Link Diagram,Node-Link,2010,,
10.1145/234972.234975,,,,,,"Ware, Colin, Franck, Glenn",,Henry,ACM Trans Graph,,,No,,No,,,,,No,,No,Henry Ehlers,"August 19, 2025 3:26 PM",,,,,,,,Natkamon,ACM,Evaluating stereo and motion cues for visualizing information nets in three dimensions,,https://doi.org/10.1145/234972.234975,ACM Trans. Graph.,,,1996,,
10.1145/234535.234538,"Edge Crossings, Node Distribution, Node-to-edge Distance, Uniform Edge Length",Drawing,"Edge Crossings, Edge Length, Overlap",,Agnostic,"Davidson, Ron, Harel, David",davidson_drawing_1996,Henry,ACM Trans Graph,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Case Study, Looking at Pictures",Diana,Simple,Simple Graph,Yes,,Yes,Diana Marin,"October 15, 2025 5:51 PM",,Heuristic (simulated annealing),Heuristic,Drawing,"Algorithm, Evaluation",,,Natkamon,ACM,Drawing graphs nicely using simulated annealing,,https://doi.org/10.1145/234535.234538,ACM Trans. Graph.,Node-Link Diagram,Node-Link,1996,,
10.1145/1516241.1516355,,,,,,"Jang, Myungha, Rhie, Arang, Whang, Jiyoung, Yang, Sanduk, Park, Hyun S.",,Henry,Proceedings of the International Conference on Ubiquitous Information Management and Communication,,,Yes,,No,,,,,No,,No,Natkamon Tovanich,"September 19, 2025 5:21 PM",,,,,,,,Natkamon,ACM,A statistical analysis of relation degree of compound pair on online biological pathway databases,,https://doi.org/10.1145/1516241.1516355,Proceedings of the 3rd International Conference on Ubiquitous Information Management and Communication,,,2009,,
10.1145/1498698.1564504,Crossing Number,Drawing,Edge Crossings,Crossings,Agnostic,"Chimani, Markus, Gutwenger, Carsten, Mutzel, Petra",chimani_experiments_2010,Henry,ACM J Exp Algorithmics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,Yes,2D,No,,Natkamon,Simple,Simple Graph,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:51 PM",,Exact (ILP),Exact,Drawing,Evaluation,,,Natkamon,ACM,Experiments on exact crossing minimization using column generation,,https://doi.org/10.1145/1498698.1564504,ACM J. Exp. Algorithmics,Node-Link Diagram,Node-Link,2010,,
10.5555/962198.962218,,,,,,"Noik, Emanuel G.",,Henry,Proceedings of the Conference of the Centre for Advanced Studies on Collaborative Research - Volume 1,,,Yes,,No,,Natkamon,,,No,,No,Natkamon Tovanich,"September 26, 2025 12:42 PM",,,,,Survey,,,Natkamon,ACM,Challenges in graph-based relational data visualization,,https://dl.acm.org/doi/10.5555/962198.962218,Proceedings of the 1992 Conference of the Centre for Advanced Studies on Collaborative Research - Volume 1,,,1992,,
10.1145/1842993.1843034,,,,,,"Hurter, Christophe, Serrurier, Mathieu, Alonso, Roland, Tabart, Gilles, Vinot, Jean-Luc",,Henry,Proceedings of the International Conference on Advanced Visual Interfaces,,,Yes,,No,,,,,No,,No,Natkamon Tovanich,"September 19, 2025 12:52 PM",,,,,,,,Natkamon,ACM,An automatic generation of schematic maps to display flight routes for air traffic controllers: structure and color optimization,,https://doi.org/10.1145/1842993.1843034,Proceedings of the International Conference on Advanced Visual Interfaces,,,2010,,
NA,,,,,,"Hlin\v{e}n\'{y}, Petr, Chimani, Markus",,Henry,Proceedings of the Twenty- Annual ACM-SIAM Symposium on Discrete Algorithms,,,No,,No,,,,,No,,No,Henry Ehlers,"August 19, 2025 3:21 PM",,,,,,,,Natkamon,ACM,Approximating the crossing number of graphs embeddable in any orientable surface,,https://dl.acm.org/doi/pdf/10.5555/1873601.1873675,Proceedings of the Twenty-First Annual ACM-SIAM Symposium on Discrete Algorithms,,,2010,,
NA,"Compactness, Edge Bends, Edge Crossings, Edge Length, Node Overlap",Drawing,"Edge Bends, Edge Crossings, Edge Length, Overlap",,Agnostic,"Marriott, Kim, Moulder, Peter, Hope, Lucas, Twardy, Charles",marriott_layout_2005,Henry,Proceedings of the Twenty- Australasian Conference on Computer Science - Volume 38,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Aesthetic), Computational (Run Time)",Natkamon,"Acyclic, Directed","Bayesian Networks, Directed Acyclic Graphs",No,,Yes,Velitchko Filipov,"October 15, 2025 1:26 PM",8,"Exact (ILP), Heuristic (other)",Exact,Layout,Algorithm,,,Natkamon,ACM,Layout of Bayesian networks,,https://crpit.scem.westernsydney.edu.au/confpapers/CRPITV38Marriott.pdf,Proceedings of the Twenty-Eighth Australasian Conference on Computer Science - Volume 38,"Layered Graph, Straight-Line Node-Link Diagram",Node-Link,2005,,8-61
NA,Crossing Number,,,Crossings,,"Asquith, Matthew, Gudmundsson, Joachim, Merrick, Damian",,Henry,Proceedings of the Symposium on Computing: The Australasian Theory - Volume 77,,,No,,No,,,,,No,,No,Diana Marin,"September 20, 2025 9:55 PM",,,,,,,,Natkamon,ACM,An ILP for the metro-line crossing problem,,https://dl.acm.org/doi/pdf/10.5555/1379361.1379370,Proceedings of the Fourteenth Symposium on Computing: The Australasian Theory - Volume 77,,,2008,,
10.5555/1082315.1082330,"Mental Map Preservation, Planarity, Symmetry",Drawing,,,Puzzles,"Sugiyama, Kozo, Osawa, Ryo, Hong, Seok-Hee",sugiyama_puzzle_2005,Henry,Proceedings of the Asia-Pacific Symposium on Information Visualisation - Volume 45,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,Looking at Pictures,Natkamon,Dynamic,Puzzle graphs,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:00 PM",,Exact (Algorithm),Exact,"Interaction, Layout",Method,,,Natkamon,ACM,Puzzle generators and symmetric puzzle layout,,https://dl.acm.org/doi/10.5555/1082315.1082330,Proceedings of the 2005 Asia-Pacific Symposium on Information Visualisation - Volume 45,Orthogonal Node-Link Diagram,Node-Link,2005,,
NA,,,,,,"Gutwenger, Carsten, Mutzel, Petra, Weiskircher, Ren\'{e}",,Henry,Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms,,,No,,No,,,,,No,,No,Henry Ehlers,"August 20, 2025 3:30 PM",,,,,,,,Natkamon,ACM,Inserting an edge into a planar graph,,https://www.ac.tuwien.ac.at/files/pub/Gutwenger01.pdf,Proceedings of the Twelfth Annual ACM-SIAM Symposium on Discrete Algorithms,,,2001,,
10.5555/545381.545428,Symmetry,Drawing,,,Agnostic,"Hong, Seok-Hee, McKay, Brendan, Eades, Peter",hong_symmetric_2002,Henry,Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Looking at Pictures, Proof",Diana,"N-Connected, Planar",Triconnected Planar Graph,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:32 PM",,Exact (Proof),,Drawing,"Algorithm, Proof",,,Natkamon,ACM,Symmetric drawings of triconnected planar graphs,,https://dl.acm.org/doi/pdf/10.5555/545381.545428,Proceedings of the Thirteenth Annual ACM-SIAM Symposium on Discrete Algorithms,Node-Link Diagram,Node-Link,2002,,
10.1145/1247069.1247079,,,,,,"Polishchuk, Valentin, Mitchell, Joseph S.B.",,Henry,Proceedings of the Twenty- Annual Symposium on Computational Geometry,,,No,,No,,,,,No,,No,Henry Ehlers,"August 19, 2025 3:18 PM",,,,,,,,Natkamon,ACM,Thick non-crossing paths and minimum-cost flows in polygonal domains,,https://doi.org/10.1145/1247069.1247079,Proceedings of the Twenty-Third Annual Symposium on Computational Geometry,,,2007,,
10.1145/1879211.1879237,"Bends, Edge Crossings, Edge Length, Edge Orthogonality, Flow, Overlap, Pathway, Symmetry",Drawing,"Edge Crossings, Edge Length, Overlap",,Business Processes,"Albrecht, Benjamin, Effinger, Philip, Held, Markus, Kaufmann, Michael",albrecht_automatic_2010,Henry,Proceedings of the International Symposium on Software Visualization,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,Complexity,Natkamon,Directed,Directed Edges,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:31 PM",,Heuristic (sugiyama),Heuristic,Drawing,Algorithm,,,Natkamon,ACM,An automatic layout algorithm for BPEL processes,,https://doi.org/10.1145/1879211.1879237,Proceedings of the 5th International Symposium on Software Visualization,Node-Link Diagram,Node-Link,2010,,
NA,,,,,,"Angelini, Patrizio, Di Battista, Giuseppe, Frati, Fabrizio, Jel\'{\i}nek, V\'{\i}t, Kratochv\'{\i}l, Jan, Patrignani, Maurizio, Rutter, Ignaz",,Henry,Proceedings of the Twenty- Annual ACM-SIAM Symposium on Discrete Algorithms,,,No,,No,,,,,No,,No,Henry Ehlers,"August 19, 2025 3:16 PM",,,,,,,,Natkamon,ACM,Testing planarity of partially embedded graphs,,https://dl.acm.org/doi/pdf/10.1145/2629341,Proceedings of the Twenty-First Annual ACM-SIAM Symposium on Discrete Algorithms,,,2010,,
10.1109/ACSC.2001.906622,,,,,,"Cole, Richard",,Henry,Proceedings of the Australasian Conference on Computer Science,,,No,,Yes,,,,,No,,No,Diana Marin,"August 29, 2025 5:01 PM",,,,,,,,Natkamon,ACM,Automated layout of concept lattices using layered diagrams and additive diagrams,,https://ieeexplore.ieee.org/document/906622,Proceedings of the 24th Australasian Conference on Computer Science,,,2001,,
10.1145/1518701.1519054,,,,,,"Holten, Danny, van Wijk, Jarke J.",,Henry,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,,No,,No,,,,,No,,No,Henry Ehlers,"August 19, 2025 3:15 PM",,,,,,,,Natkamon,ACM,A user study on visualizing directed edges in graphs,,https://doi.org/10.1145/1518701.1519054,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,,2009,,
10.1145/73833.73839,,,,,,"Di Battista, G., Tamassia, R., Tollis, I. G.",,Henry,Proceedings of the Annual Symposium on Computational Geometry,,,No,,No,,,,,No,,No,Henry Ehlers,"August 19, 2025 3:14 PM",,,,,,,,Natkamon,ACM,Area requirement and symmetry display in drawing graphs,,https://doi.org/10.1145/73833.73839,Proceedings of the Fifth Annual Symposium on Computational Geometry,,,1989,,
10.1145/72910.73350,Edge Crossings,Drawing,Edge Crossings,,,"Newbery, F. J.",newbery_edge_1989,Henry,Proceedings of the International Workshop on Software Configuration Management,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Case Study, Computational (Run Time), Looking at Pictures",Diana,Directed,Directed Edges,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:31 PM",4,Heuristic (edge concentration),Heuristic,Drawing,"Algorithm, Evaluation",,,Joey,ACM,Edge concentration: a method for clustering directed graphs,,https://doi.org/10.1145/72910.73350,Proceedings of the 2nd International Workshop on Software Configuration Management,Node-Link Diagram,Node-Link,1989,20-91,13-47
10.1145/160985.161165,"Area, Crossing Number, Flow",Drawing,"Edge Crossings, Total Area",Crossings,,"Garg, Ashim, Goodrich, Michael T., Tamassia, Roberto",garg_area-efficient_1993,Henry,Proceedings of the Annual Symposium on Computational Geometry,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,Proof,Diana,Tree,Rooted Tree,No,,Yes,Diana Marin,"October 15, 2025 5:03 PM",,Exact (Proof),,Drawing,"Algorithm, Proof",,,Joey,ACM,Area-efficient upward tree drawings,,https://doi.org/10.1145/160985.161165,Proceedings of the Ninth Annual Symposium on Computational Geometry,"Grid Drawing, Node-Link Diagram, Orthogonal Node-Link Diagram",Node-Link,1993,,20-65535
10.1145/988952.989045,"Edge Bends, Edge Crossings",Drawing,"Edge Bends, Edge Crossings",,Circuit Design,"Eschbach, Thomas, G\{u}nther, Wolfgang, Becker, Bernd",eschbach_orthogonal_2004,Henry,Proceedings of the ACM Great Lakes Symposium on,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Aesthetic), Computational (Run Time)",Natkamon,,,No,Layout Algorithm,Yes,Velitchko Filipov,"October 15, 2025 1:42 PM",22,Heuristic (greedy),Heuristic,Layout,Algorithm,,,Joey,ACM,Orthogonal hypergraph routing for improved visibility,,https://doi.org/10.1145/988952.989045,Proceedings of the 14th ACM Great Lakes Symposium on VLSI,"Layered Graph, Orthogonal Node-Link Diagram",Node-Link,2004,,
10.1145/1150402.1150432,,,,,,"Koren, Yehuda, North, Stephen C., Volinsky, Chris",,Henry,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,No,,Yes,,,,,No,,No,Henry Ehlers,"August 19, 2025 3:11 PM",,,,,,,,Joey,ACM,Measuring and extracting proximity in networks,,https://doi.org/10.1145/1150402.1150432,Proceedings of the 12th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,2006,,
10.1145/1297332.1297336,,,,,,"Koren, Yehuda, North, Stephen C., Volinsky, Chris",,Henry,ACM Trans Knowl Discov Data,,,No,,Yes,,,,,No,,No,Henry Ehlers,"August 19, 2025 3:11 PM",,,,,,,,Joey,ACM,Measuring and extracting proximity graphs in networks,,https://doi.org/10.1145/1297332.1297336,ACM Trans. Knowl. Discov. Data,,,2007,,
10.1145/152992.152996,,,,,,"Eades, Peter",,Henry,SIGACT News,,,No,,No,,,,,No,,No,Henry Ehlers,"August 19, 2025 3:10 PM",,,,,,,,Joey,ACM,Algorithms for drawing trees (abstract),,https://doi.org/10.1145/152992.152996,SIGACT News,,,1993,,
10.1145/327164.327228,"Area, Bends, Edge Crossings, Line clutter (Spaghetti ball), Overlap, Total Edge Length",Drawing,"Edge Crossings, Edge Length, Overlap, Total Area",,Software Engineering Diagrams,"Moyer, Todd S., Glinert, Ephraim P.",moyer_reducing_1991,Henry,Proceedings of the Annual Conference on Computer Science,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,Looking at Pictures,Diana,Simple,Simple Graph,No,,Yes,Diana Marin,"October 15, 2025 5:51 PM",,Heuristic (other),,Drawing,Algorithm,,,Joey,ACM,Reducing line clutter in software engineering diagrams,,https://doi.org/10.1145/327164.327228,Proceedings of the 19th Annual Conference on Computer Science,Node-Link Diagram,Node-Link,1991,,
10.1145/3588930,"Node Distribution, Uniform Length Coefficient Variance",Drawing,Overlap,,Agnostic,"Zhang, Shiqi, Yang, Renchi, Xiao, Xiaokui, Yan, Xiao, Tang, Bo",zhang_effective_2023,Henry,Proc ACM Manag Data,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Comparison, User Study (Quantitative)",Natkamon,Simple,Simple Graph,No,Layout Algorithm,Yes,Velitchko Filipov,"October 16, 2025 11:26 AM",12,Tau-Push (approximate computation),Heuristic,Drawing,Algorithm,,,Joey,ACM,Effective and Efficient PageRank-based Positioning for Graph Visualization,,https://doi.org/10.1145/3588930,Proc. ACM Manag. Data,Straight-Line Node-Link Diagram,Node-Link,2023,52-3.0B,23-41.7M
10.1145/3477314.3507018,"Clutter Reductrion, Edge Crossings, Layout Readability","Edge, Node",Edge Crossings,,Agnostic,"Ponciano, Jean R., Linhares, Claudio D. G., Rocha, Luis E. C., Faria, Elaine R., Traven\c{c}olo, Bruno A. N.",ponciano_combining_2022,Henry,Proceedings of the ACM/SIGAPP Symposium on Applied Computing,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Case Study, Comparison",Natkamon,Dynamic,"Dynamic (Discrete), Temporal",No,None,Yes,Velitchko Filipov,"October 16, 2025 11:24 AM",2,"Adaptive Resolution, Edge Sampling, Node Ordering",Simplification,Drawing,Evaluation,,,Joey,ACM,Combining clutter reduction methods for temporal network visualization,,https://doi.org/10.1145/3477314.3507018,Proceedings of the 37th ACM/SIGAPP Symposium on Applied Computing,Massive Sequence View,Biofabric,2022,6980-34060,72-12157
10.1145/3607822.3614537,"Angular resolution, Crossing Angles, Edge Crossings, Edge Length, Node Overlap, Total Area",Drawing,"Crossing Resolution, Edge Crossings, Edge Length, Overlap, Total Area",,"Biology, Law Enforcement","Joos, Lucas, Fischer, Maximilian T., Keim, Daniel A., Fuchs, Johannes",joos_aesthetic-driven_2023,Henry,Proceedings of the ACM Symposium on Spatial User Interaction,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,"3D, VR/AR",No,Expert Interviews,Natkamon,Simple,Simple Graph,No,"VR-guided navigation, Viewport quality calculation",Yes,Diana Marin,"October 15, 2025 5:51 PM",,Heuristic (Viewport Quality Calculation),Heuristic,"Interaction, Layout","Algorithm, Evaluation",,,Joey,ACM,Aesthetic-Driven Navigation for Node-Link Diagrams in VR,,https://doi.org/10.1145/3607822.3614537,Proceedings of the 2023 ACM Symposium on Spatial User Interaction,Node-Link Diagram,Node-Link,2023,,
10.1145/2801040.2801048,"Density, Edge Length, Mental Map Preservation, Visual Clutter",Drawing,Edge Length,,Agnostic,"Burch, Michael",burch_dynamic_2015,Henry,Proceedings of the International Symposium on Visual Information Communication and Interaction,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,Yes,2D,No,Case Study,Natkamon,Dynamic,Dynamic (unspecified),No,Layout Algorithm,Yes,Henry Ehlers,"October 14, 2025 7:49 PM",20,Heuristic (other),,Drawing,Method,,,Joey,ACM,Dynamic Graph Visualization with Multiple Visual Metaphors,,https://doi.org/10.1145/2801040.2801048,Proceedings of the 8th International Symposium on Visual Information Communication and Interaction,"Adjacency Matrix, Node-Link Diagram",Adjacency Matrix,2015,12112,2817
